standard_sort	unit_id	parent_unit_id	unit_name	strat_index	rank	start_age_ma	end_age_ma	start_age_err_ma	font_color	cmyk	cyan	magenta	yellow	black	rgb	red	green	blue	html_rgb_hash
1	194	92	Meghalayan	Q2m	Stage	0	0.0042		Black	0/10/5/0	0	10	5	0	253/237/236	253	237	236	#FDEDEC
2	92	81	Upper/Late Holocene	Q2-3	Subseries	0	0.0042		Black	0/10/5/0	0	10	5	0	253/237/236	253	237	236	#FDEDEC
3	193	91	Northgrippian	Q2n	Stage	0.0042	0.0082		Black	0/10/10/0	0	10	10	0	253/236/228	253	236	228	#FDECE4
4	91	81	Middle Holocene	Q2-2	Subseries	0.0042	0.0082		Black	0/10/10/0	0	10	10	0	253/236/228	253	236	228	#FDECE4
5	192	90	Greenlandian	Q2g	Stage	0.0082	0.0117		Black	0/10/15/0	0	10	15	0	254/236/219	254	236	219	#FEECDB
6	90	81	Lower/Early Holocene	Q2-1	Subseries	0.0082	0.0117		Black	0/10/15/0	0	10	15	0	254/236/219	254	236	219	#FEECDB
7	81	41	Holocene	Q2	Series	0	0.0117		Black	0/10/20/0	0	10	20	0	254/235/210	254	235	210	#FEEBD2
8	191	89	Upper Pleistocene	Q1-2	Stage	0.0117	0.129		Black	0/5/15/0	0	5	15	0	255/242/211	255	242	211	#FFF2D3
9	89	80	Upper/Late Pleistocene	Q1-3	Subseries	0.0117	0.129		Black	0/5/15/0	0	5	15	0	255/242/211	255	242	211	#FFF2D3
10	190	88	Chibanian	Q1ch	Stage	0.129	0.774		Black	0/5/20/0	0	5	20	0	255/242/199	255	242	199	#FFF2C7
11	88	80	Middle Pleistocene	Q1-2	Subseries	0.129	0.774		Black	0/5/20/0	0	5	20	0	255/242/199	255	242	199	#FFF2C7
12	189	87	Calabrian	Q1c	Stage	0.774	1.8		Black	0/5/25/0	0	5	25	0	255/242/186	255	242	186	#FFF2BA
13	188	87	Gelasian	Q1g	Stage	1.8	2.58		Black	0/5/30/0	0	5	30	0	255/237/179	255	237	179	#FFEDB3
14	87	80	Lower/Early Pleistocene	Q1-1	Subseries	0.774	2.58		Black	0/5/35/0	0	5	35	0	255/240/185	255	240	185	#FFF0B9
15	80	41	Pleistocene	Q1	Series	0.0117	2.58		Black	0/5/40/0	0	5	40	0	255/239/175	255	239	175	#FFEFAF
16	41	15	Quaternary	Q	System	0	2.58		Black	0/0/50/0	0	0	50	0	249/249/127	249	249	127	#F9F97F
17	187	86	Piacenzian	Ng2p	Stage	2.58	3.6		Black	0/0/25/0	0	0	25	0	255/255/191	255	255	191	#FFFFBF
18	86	79	Upper/Late Pliocene	Ng2-2	Subseries	2.58	3.6		Black	0/5/25/0	0	5	25	0	255/242/205	255	242	205	#FFF2CD
19	186	85	Zanclean	Ng2z	Stage	3.6	5.333		Black	0/0/30/0	0	0	30	0	255/255/179	255	255	179	#FFFFB3
20	85	79	Lower/Early Pliocene	Ng2-1	Subseries	3.6	5.333		Black	0/5/30/0	0	5	30	0	255/242/195	255	242	195	#FFF2C3
21	79	40	Pliocene	Ng2	Series	2.58	5.333		Black	0/0/40/0	0	0	40	0	255/255/153	255	255	153	#FFFF99
22	185	84	Messinian	Ng1m	Stage	5.333	7.246		Black	0/0/55/0	0	0	55	0	255/255/115	255	255	115	#FFFF73
23	184	84	Tortonian	Ng1t	Stage	7.246	11.63		Black	0/0/60/0	0	0	60	0	255/255/102	255	255	102	#FFFF66
24	84	78	Upper/Late Miocene	Ng1-3	Subseries	5.333	11.63		Black	0/5/55/0	0	5	55	0	255/236/140	255	236	140	#FFEC8C
25	183	83	Serravallian	Ng1s	Stage	11.63	13.82		Black	0/0/65/0	0	0	65	0	255/255/89	255	255	89	#FFFF59
26	182	83	Langhian	Ng1l	Stage	13.82	15.98		Black	0/0/70/0	0	0	70	0	255/255/77	255	255	77	#FFFF4D
27	83	78	Middle Miocene	Ng1-2	Subseries	11.63	15.98		Black	0/5/65/0	0	5	65	0	255/236/115	255	236	115	#FFEC73
28	181	82	Burdigalian	Ng1b	Stage	15.98	20.44		Black	0/0/75/0	0	0	75	0	255/255/65	255	255	65	#FFFF41
29	180	82	Aquitanian	Ng1a	Stage	20.44	23.03		Black	0/0/80/0	0	0	80	0	255/255/51	255	255	51	#FFFF33
30	82	78	Lower/Early Miocene	Ng1-1	Subseries	15.98	23.03		Black	0/5/75/0	0	5	75	0	255/236/85	255	236	85	#FFEC55
31	78	40	Miocene	Ng1	Series	5.333	23.03		Black	0/0/100/0	0	0	100	0	255/255/0	255	255	0	#FFFF00
32	40	15	Neogene	Ng	System	2.58	23.03		Black	0/10/90/0	0	10	90	0	255/230/25	255	230	25	#FFE619
33	179	77	Chattian	Pg3ch	Stage	23.03	27.82		Black	0/10/30/0	0	10	30	0	254/230/170	254	230	170	#FEE6AA
34	178	77	Rupelian	Pg3r	Stage	27.82	33.9		Black	0/15/35/0	0	15	35	0	254/217/154	254	217	154	#FED99A
35	77	39	Oligocene	Pg3	Series	23.03	33.9		Black	0/25/45/0	0	25	45	0	254/192/122	254	192	122	#FEC07A
36	177	76	Priabonian	Pg2p	Stage	33.9	37.71		Black	0/20/30/0	0	20	30	0	253/205/161	253	205	161	#FDCDA1
37	176	76	Bartonian	Pg2b	Stage	37.71	41.2		Black	0/25/35/0	0	25	35	0	253/192/145	253	192	145	#FDC091
38	175	76	Lutetian	Pg2l	Stage	41.2	47.8		Black	0/30/40/0	0	30	40	0	253/180/130	253	180	130	#FDB482
39	174	76	Ypresian	Pg2y	Stage	47.8	56		Black	0/35/45/0	0	35	45	0	252/167/115	252	167	115	#FCA773
40	76	39	Eocene	Pg2	Series	33.9	56		Black	0/30/50/0	0	30	50	0	253/180/108	253	180	108	#FDB46C
41	173	75	Thanetian	Pg1t	Stage	56	59.2		Black	0/25/50/0	0	25	50	0	253/191/111	253	191	111	#FDBF6F
42	172	75	Selandian	Pg1s	Stage	59.2	61.6		Black	0/25/55/0	0	25	55	0	254/191/101	254	191	101	#FEBF65
43	171	75	Danian	Pg1d	Stage	61.6	66		Black	0/30/55/0	0	30	55	0	253/180/98	253	180	98	#FDB462
